ARK	200	214	214$c	700	300$a
ark:/12148/cb469478268	 $a Le serpent et l'aigle $b Texte imprimé $e fable $e 27 juin 2015 $f Romain Barnas	 $a [Paris] $c Éditions Champfort $d 2021	Éditions Champfort	 $3 17001350 $a Barnas $b Romain $f 1953-.... $4 070	
ark:/12148/cb46992010h	 $a Depuis nous $b Texte imprimé $f Valérie Landsheere	 $a [S.l.] $c Valérie Landsheere¤ $d C 2022	Valérie Landsheere	 $3 17918953 $o ISNI0000000493392372 $a Landsheere $b Valérie $f 1966-.... $4 070	
ark:/12148/cb46970470k	 $a Lucilène $b Texte imprimé $f Pierre Séguret	 $a [Chaumont] $c Éditions Douro¤ $d C 2021¤ $a 64-Orthez $c Impr. ICN	Éditions Douro¤Impr. ICN	 $3 11924342 $o ISNI0000000119332687 $a Séguret $b Pierre $f 1955-.... $4 070	
ark:/12148/cb46942380g	 $a Katrijn $b Texte imprimé $e roman $f Yves Bigot	 $a Paris $c Encre de nuit $d DL 2021	Encre de nuit	 $3 12495438 $o ISNI0000000121216407 $a Bigot $b Yves $f 1955-.... $4 070	
ark:/12148/cb46991790p	 $a Femme asymétrique $b Texte imprimé $a suivi de Aperceptions $f Tomasz Cichawa	 $a [Montélimar] $c Voix d'encre $d DL 2020¤ $a impr. en Italie	Voix d'encre	 $3 16991136 $a Cichawa $b Tomasz $f 1959-.... $4 070	
ark:/12148/cb470326304	 $a Pour un art transfigural $b Texte imprimé $f Romain Sarnel	 $a [Paris] $c Éditions Champfort $d DL 2022	Éditions Champfort	 $3 13581652 $o ISNI0000000378766412 $a Sarnel $b Romain $f 1953-.... $4 070	
ark:/12148/cb469498618	 $a Roue libre $b Texte imprimé $e chroniques $f Cécile Guilbert	 $a [Paris] $c Flammarion $d DL 2020	Flammarion	 $3 12430740 $o ISNI0000000121289729 $a Guilbert $b Cécile $f 1963-.... $4 070	
ark:/12148/cb46957631h	 $a Stracci di mimoria $b Texte imprimé $f Ceccè Lanfranchi	 $a Ajaccio $c Parti des oiseaux $d DL 2021	Parti des oiseaux	 $3 18023943 $o ISNI0000000507307045 $a Lanfranchi $b Ceccè $f 1965-.... $4 070	
ark:/12148/cb46959811x	 $a Racines ? $b Texte imprimé $f Michèle Muscat	 $a [Wambrechies] $c Bayard service $d impr. 2021¤ $a 59-Linselles $c Impr. Sobook	Bayard service¤Impr. Sobook	 $3 16548087 $o ISNI0000000359397674 $a Muscat $b Michèle $f 1943-.... $4 070	
ark:/12148/cb46974951n	 $a Symbiosa $b Texte imprimé $f Morgane Bicail	 $a Neuilly-sur-Seine $c Michel Lafon $d DL 2021¤ $a 72-La Flèche $c Impr. CPI Brodard & Taupin	Michel Lafon¤Impr. CPI Brodard & Taupin	 $3 17026422 $a Bicail $b Morgane $f 200.-.... $4 070	
